Feature,VIP_90RH,VIP_70RH
max_molality_original,0.338116,0.379443
r_M_angstrom,0.783304,0.369114
r_X_angstrom,0.429178,0.263076
anion_1_delta_G_hydration,0.729173,0.248555
anion_1_diffusion_coefficient,0.275622,0.679273
anion_1_molecular_weight,0.602322,0.198374
anion_1_n_atoms,0.438457,0.000000
anion_1_radius_hydrated,0.421635,0.570251
anion_1_viscosity_jones_dole,0.780604,0.244894
cation_1_delta_G_hydration,0.384260,0.488603
cation_1_diffusion_coefficient,0.623139,0.615301
cation_1_molecular_weight,0.819730,0.775248
cation_1_n_atoms,0.525228,0.000000
cation_1_radius_hydrated,0.350778,0.516529
cation_1_viscosity_jones_dole,0.353999,0.461133
B_MX_0_original,0.466276,0.598462
B_MX_1_original,0.543532,0.473053
B_MX_2_original,0.000000,0.000000
C_MX_phi_original,1.168902,1.430530
electrolyte_type_numeric,0.540440,0.465642
cation_type_numeric,0.395348,1.076989
anion_type_numeric,0.280026,0.000000
