Feature,VIP_Score
cation_1_diffusion_coefficient,1.046845
C_MX_phi_original,0.866336
anion_1_viscosity_jones_dole,0.755202
cation_1_molecular_weight,0.745867
anion_1_delta_G_hydration,0.712418
molecule_n_elements,0.691141
cation_1_n_atoms,0.673833
anion_1_molecular_weight,0.655315
anion_1_n_atoms,0.637930
std_dev_simplified,0.637929
anion_1_n_elements,0.619108
B_MX_2_original,0.617672
max_molality_simplified,0.579950
std_dev_original,0.577965
cation_1_radius_vdw,0.565604
anion_1_radius_vdw,0.557038
r_M_angstrom,0.547403
anion_1_radius_hydrated,0.527280
anion_type_numeric,0.503658
anion_1_diffusion_coefficient,0.467841
electrolyte_type_numeric,0.441844
cation_1_delta_G_hydration,0.410439
B_MX_0_original,0.404494
max_molality_original,0.402319
r_X_angstrom,0.400567
B_MX_1_original,0.351340
cation_type_numeric,0.310905
cation_1_viscosity_jones_dole,0.293742
cation_1_radius_hydrated,0.269627
