Salt,Cation,Anion,Swing,Min_Uptake,Max_Uptake,Valid_Points
Cs+ → Br-,Cs+,Br-,0.0340285230523295,0.865082089109858,0.899110612162188,8
Cs+ → Cl-,Cs+,Cl-,0.0151692208102049,0.954407877849168,0.969577098659373,29
NH4+ → Cl-,NH4+,Cl-,0.00822061058221646,0.976893256052943,0.985113866635159,31
Na+ → Cl-,Na+,Cl-,0.00693087367117617,0.984300668351111,0.991231542022287,45
Mg++ → Cl-,Mg++,Cl-,0.00521376480934244,0.989210650363488,0.994424415172831,50
Na+ → Br-,Na+,Br-,0.00505648300578987,0.989082387783783,0.994138870789573,50
K+ → Cl-,K+,Cl-,0.00441070022266987,0.983701012294537,0.988111712517207,19
Li+ → Br-,Li+,Br-,0.00257031256371376,0.823756156751582,0.826326469315296,50
Ca++ → Cl-,Ca++,Cl-,0.0020476319076802,0.30755217982271,0.30959981173039,50
H+ → Cl-,H+,Cl-,0.000627245822782396,0.587266056913511,0.587893302736293,50
